Student_ID,Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Department,Parental_Education,Dropout,Data_Ingresso
1,22.1,Male,25000.0,Yes,3.36,86.1,2.0,20.4,Yes,No,5.5,0.96,0.9,0.9,Year 1,Design,High School,0,2023-01-01
2,20.7,Male,25000.0,Yes,4.3,68.0,2.0,44.0,No,No,6.8,1.28,1.2,1.19,Year 3,Engenharia,Bachelor,1,2023-01-02
3,22.4,Male,40183.0,Yes,4.4,70.9,0.0,48.9,Yes,No,5.5,1.68,1.32,1.32,Year 1,Design,Master,0,2023-01-03
4,24.4,Male,,Yes,,82.2,2.0,38.6,No,No,,1.78,1.77,1.77,Year 1,Sistemas de Informação,High School,1,2023-01-04
5,20.5,Female,25319.0,Yes,4.19,75.7,1.0,23.0,No,No,7.0,1.48,0.91,0.87,Year 4,Administração,Bachelor,0,2023-01-05
6,20.5,Male,25000.0,Yes,4.11,89.1,2.0,47.1,No,Yes,6.0,2.52,2.72,2.69,Year 3,Administração,,0,2023-01-06
7,24.5,Male,25000.0,Yes,3.0,78.2,1.0,37.4,Yes,Yes,7.3,0.64,0.33,0.44,Year 4,Sistemas de Informação,Bachelor,0,2023-01-07
8,22.7,Female,25000.0,Yes,2.12,86.4,1.0,34.0,No,Yes,6.5,1.79,1.14,1.14,Year 1,Design,High School,0,2023-01-08
9,20.0,Male,57413.0,Yes,4.07,97.5,3.0,52.1,No,No,4.2,3.08,2.81,2.81,Year 1,Sistemas de Informação,High School,0,2023-01-09
10,22.2,Female,44930.0,Yes,2.98,82.2,1.0,19.7,No,No,6.7,1.59,1.73,1.73,Year 1,Ciências,Master,0,2023-01-10
11,20.0,Female,25000.0,Yes,5.27,73.9,3.0,39.3,Yes,No,7.2,1.52,1.5,1.46,Year 3,Administração,Bachelor,1,2023-01-11
12,20.0,Male,46056.0,Yes,2.37,85.2,6.0,20.2,Yes,Yes,8.0,0.0,0.15,0.15,Year 2,Engenharia,Bachelor,1,2023-01-12
13,21.5,Female,50644.0,Yes,3.54,84.3,1.0,22.7,No,Yes,4.6,2.56,2.65,2.72,Year 4,Sistemas de Informação,,0,2023-01-13
14,17.0,Female,27000.0,Yes,4.2,84.0,1.0,61.2,No,Yes,4.8,2.68,2.7,2.7,Year 1,Administração,Bachelor,0,2023-01-14
