Age,Family_Income,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Stress_Index,GPA,Semester_GPA,CGPA,Gender_Male,Internet_Access_Yes,Part_Time_Job_Yes,Scholarship_Yes,Semester_Year 2,Semester_Year 3,Semester_Year 4,Department_Business,Department_CS,Department_Engineering,Department_Science,Parental_Education_High School,Parental_Education_Master,Parental_Education_PhD,Dropout
22.1,25000.0,3.36,86.1,2,20.4,5.5,0.96,0.9,0.9,True,True,True,False,False,False,False,False,False,False,False,True,False,False,0
20.7,25000.0,4.3,68.0,2,44.0,6.8,1.28,1.2,1.19,True,True,False,False,False,True,False,False,False,True,False,False,False,False,1
22.4,40183.0,4.4,70.9,0,48.9,5.5,1.68,1.32,1.32,True,True,True,False,False,False,False,False,False,False,False,False,True,False,0
24.4,29740.5,4.0,82.2,2,38.6,5.5,1.78,1.77,1.77,True,True,False,False,False,False,False,False,True,False,False,True,False,False,1
20.5,25319.0,4.19,75.7,1,23.0,7.0,1.48,0.91,0.87,False,True,False,False,False,False,True,True,False,False,False,False,False,False,0
20.5,25000.0,4.11,89.1,2,47.1,6.0,2.52,2.72,2.69,True,True,False,True,False,True,False,True,False,False,False,False,False,False,0
24.5,25000.0,3.0,78.2,1,37.4,7.3,0.64,0.33,0.44,True,True,True,True,False,False,True,False,True,False,False,False,False,False,0
22.7,25000.0,2.12,86.4,1,34.0,6.5,1.79,1.14,1.14,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0
20.0,57413.0,4.07,97.5,3,52.1,4.2,3.08,2.81,2.81,True,True,False,False,False,False,False,False,True,False,False,True,False,False,0
22.2,44930.0,2.98,82.2,1,19.7,6.7,1.59,1.73,1.73,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0
20.0,25000.0,5.27,73.9,3,39.3,7.2,1.52,1.5,1.46,False,True,True,False,False,True,False,True,False,False,False,False,False,False,1
20.0,46056.0,2.37,85.2,6,20.2,8.0,0.0,0.15,0.15,True,True,True,True,True,False,False,False,False,True,False,False,False,False,1
