ID,Nome,Matricula,Turma,Curso,Semestre,Age,GPA,Attendance_Rate,Study_Hours_per_Day,Travel_Time_Minutes,Stress_Index,Gender_Male,Dropout,Nivel_Risco,Probabilidade_Risco,Recomendacoes
1,,,,,,22,0.96,86.1,3.36,20.4,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
2,,,,,,20,1.28,68.0,4.3,44.0,6,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
3,,,,,,22,1.68,70.9,4.4,48.9,5,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
4,,,,,,24,1.78,82.2,4.0,38.6,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
5,,,,,,20,1.48,75.7,4.19,23.0,7,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
6,,,,,,20,2.52,89.1,4.11,47.1,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
7,,,,,,24,0.64,78.2,3.0,37.4,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
8,,,,,,22,1.79,86.4,2.12,34.0,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
9,,,,,,20,3.08,97.5,4.07,52.1,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
10,,,,,,22,1.59,82.2,2.98,19.7,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
11,,,,,,20,1.52,73.9,5.27,39.3,7,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial
12,,,,,,20,0.0,85.2,2.37,20.2,8,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
13,,,,,,21,2.56,84.3,3.54,22.7,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
14,,,,,,17,2.68,84.0,4.2,61.2,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
15,,,,,,17,2.6,92.9,4.0,36.0,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
16,,,,,,19,2.81,72.5,3.49,52.2,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial
17,,,,,,18,2.55,90.0,4.24,36.5,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
18,,,,,,21,1.99,77.2,4.8,34.8,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
19,,,,,,19,3.25,93.0,4.99,22.5,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
20,,,,,,17,1.71,65.0,4.48,41.7,5,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
21,,,,,,24,2.63,99.8,6.35,30.3,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
22,,,,,,20,2.09,79.8,3.48,31.0,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
23,,,,,,21,4.0,72.3,6.25,26.9,2,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
24,,,,,,17,3.14,89.3,4.9,28.8,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
25,,,,,,19,0.42,86.1,4.32,30.3,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
26,,,,,,21,3.47,85.6,4.42,31.5,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
27,,,,,,18,1.66,89.4,5.22,29.4,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
28,,,,,,21,1.01,82.3,3.07,11.3,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
29,,,,,,19,1.15,79.7,4.19,36.5,9,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
30,,,,,,20,2.78,72.7,4.0,28.5,5,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
31,,,,,,19,3.96,81.1,6.08,5.0,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
32,,,,,,25,2.56,77.9,4.0,10.9,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
33,,,,,,21,3.62,81.9,6.6,24.3,3,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
34,,,,,,18,1.64,67.9,4.0,45.3,5,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
35,,,,,,22,0.76,95.9,2.19,37.3,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
36,,,,,,18,0.81,61.0,4.0,21.8,5,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
37,,,,,,21,1.61,80.9,2.9,27.7,7,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
38,,,,,,17,3.66,78.5,6.16,43.3,4,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
39,,,,,,18,2.16,70.8,2.25,22.6,5,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
40,,,,,,21,3.1,85.0,4.0,17.0,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
41,,,,,,22,2.29,74.5,5.91,40.6,5,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
42,,,,,,21,1.62,85.0,7.6,43.4,4,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
43,,,,,,20,2.34,95.6,3.86,22.7,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
44,,,,,,20,2.32,72.1,4.15,35.9,8,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial
45,,,,,,17,0.63,89.0,2.48,29.5,7,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
46,,,,,,19,1.58,69.7,3.51,22.9,7,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial
47,,,,,,20,3.36,75.6,6.84,44.0,5,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
48,,,,,,23,4.0,86.5,5.13,22.0,3,1,0,BAIXO,20.0,Reforco escolar e acompanhamento pedagogico
49,,,,,,21,4.0,79.8,5.58,39.1,1,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
50,,,,,,17,2.8,93.6,4.84,30.8,1,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
51,,,,,,21,4.0,83.0,5.39,27.9,5,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
52,,,,,,20,2.89,86.2,6.52,23.3,6,1,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
53,,,,,,19,2.28,76.5,3.41,18.2,7,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial
54,,,,,,22,2.16,73.7,4.96,27.0,5,1,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
55,,,,,,23,0.35,72.8,3.1,23.9,4,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia
56,,,,,,23,0.68,74.5,1.35,31.1,6,0,1,ALTO,90.0,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos
57,,,,,,19,2.64,76.4,4.34,15.6,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
58,,,,,,20,2.09,91.3,4.16,28.2,3,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
59,,,,,,21,0.26,85.2,3.9,34.9,6,0,1,MEDIO,65.0,Reforco escolar e acompanhamento pedagogico
